county_or_part,congressional_district,percent_cnty_total
1,12,0.44972326765552356
1,14,0.4815806951516493
1,17,0.050011069293779055
1,10,0.01868496789904804
3,03,1
5,05,1
7,01,1
9,05,1
11,01,1
13,08,0.31867267396123866
13,09,0.0219313928818327
13,10,0.6593959331569287
15,02,1
17,05,0.6781562802712302
17,03,0.3218437197287698
19,20,0.2702938355567181
19,05,0.1749353329264394
19,13,0.049582933705350656
19,21,0.5051878978114919
21,01,1
23,02,1
25,25,1
27,03,1
29,23,0.041125920729568576
29,22,0.3012977902490354
29,20,0.657576289021396
31,22,0.4131550674465799
31,20,0.5868449325534201
33,04,1
35,01,1
37,20,0
37,29,0.05267020435813481
37,44,0.08449640006600603
37,23,0.002696693619127852
37,26,0.0060187074977636115
37,30,0.06323116874093503
37,42,0.07092608193432401
37,32,0.08726257371396809
37,38,0.07591561650498085
37,45,0.008511303532190966
37,34,0.04797161740822122
37,35,0.01469936860023797
37,37,0.05751643636932109
37,27,0.11466376008546043
37,28,0.06792541318904648
37,43,0.07466931848776717
37,31,0.0823251491649369
37,36,0.08850018672757749
39,05,0.42120481927710846
39,13,0.5787951807228916
41,02,1
43,05,1
45,02,1
47,13,1
49,01,1
51,03,1
53,18,0.3525397033731461
53,19,0.6474602966268539
55,04,1
57,03,1
59,42,0
59,38,0.021350656495656865
59,45,0.20933800268734726
59,46,0.15894495170181025
59,47,0.2664705820117016
59,40,0.24932022810711302
59,49,0.09457557899637102
61,03,1
63,03,1
65,39,0.2064666404883447
65,23,0
65,35,0.01637632527754971
65,40,0.0035786956056116804
65,25,0.24592153642951486
65,48,0.1516438796273159
65,41,0.37601292257166313
67,03,0.0836256585916113
67,07,0.40720564566051753
67,06,0.5091686957478712
69,18,1
71,33,0.28454323995127895
71,40,0.022789281364190013
71,35,0.17015834348355663
71,28,0.04679658952496955
71,23,0.4681973203410475
71,41,0
71,25,0.007515225334957369
71,39,0
73,48,0.1871867240395441
73,49,0.15409964167656298
73,50,0.20549874818139288
73,51,0.23939295794197937
73,52,0.21382192816052067
75,12,0
75,15,0.12258354563164993
75,11,0.87741645436835
75,02,0
77,09,0.959722475807924
77,13,0.040277524192075954
79,19,0.3802875475285171
79,24,0.6197124524714829
81,16,0.2057142857142857
81,15,0.7942857142857143
83,24,1
85,16,0.3169700984535258
85,17,0.30968316695981907
85,18,0.20008223496356534
85,19,0.17326449962308976
87,18,0.14762684124386252
87,19,0.8523731587561375
89,01,1
91,03,1
93,01,1
95,08,0.6136735579973949
95,04,0.38632644200260513
95,07,0
97,02,0.5054306187750687
97,04,0.49456938122493127
99,13,0.3079436499009052
99,09,0.0035352723766672025
99,05,0.6885210777224275
101,01,1
103,01,1
105,02,1
107,21,0.3252678880055306
107,22,0.3011406844106464
107,20,0.373591427583823
109,05,1
111,26,0.778550741098302
111,32,0.0017320688284400022
111,24,0.219717190073258
113,04,0.6955282112845138
113,07,0.3044717887154862
115,01,0.8268348623853211
115,03,0.1731651376146789
